ID,Title,Company,Location,Workexp,Skill
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48529436,(주)플래티어 ITIL/ITSM과 DevOps 컨설팅 및 로드맵 경력직 채용,(주)플래티어,서울송파구,경력 5~15년,기술지원 SE(시스템엔지니어) C++ 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48452313,모빌리티 IoT 프레임워크/솔루션 인프라/DevOps 경력 채용,(주)알티모빌리티,서울서초구,경력 3~10년,AWS 인프라 솔루션 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48475526,DevOps 모집,(주)시너샛코리아,부산해운대구,경력무관,정보통신 GIS 통신공사 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48527583,모빌리티 IoT 프레임워크/솔루션 인프라/DevOps 경력자 채용,(주)알티모빌리티,서울서초구,경력3년↑,AWS 인프라 솔루션 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48500213,DevOps 엔지니어 구인(경력),인포그랩(유),경기전체,경력 1~15년,AWS 인프라 솔루션 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48500216,DevOps 컨설턴트/코치 구인 (경력),인포그랩(유),경기전체,경력 5~20년,AWS 인프라 Java 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48400946,DevSecOps Engineer (DevOps + Security),(주)스카이랩스,경기성남시 분당구,경력 5~15년,인프라 네트워크 임베디드 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48527066,[Unannounced Project] DevOps Engineer (데브옵스 엔지니어),일렉트로닉아츠코리아유한책임회사,서울강남구,경력 5~15년,인프라 Java Python 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48536732,데브옵스 엔지니어(DevOps Engineer)(7년 이상),(주)와탭랩스,서울서초구,경력 7~12년,AWS 인프라 Java 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48513217,AWS DevOps,프롭티어(주),서울서초구,경력 5~10년,AWS 인프라 Linux 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48601467,[AI SaaS 스타트업] IT Engineer(DevOps),(주)퀀텀에이아이,서울강남구,경력 4~7년,Linux 네트워크 Nginx 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48397063,(주)시어스랩 DevOps 엔지니어 채용,(주)시어스랩,서울서초구,경력 3~8년,AWS 인프라 솔루션 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48419021,DevOps (On-prem Infrastructure) Engineer,올거나이즈코리아(주),서울강남구,경력 3~10년,Linux 솔루션 네트워크 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48419188,DevOps Engineer,올거나이즈코리아(주),서울강남구,경력 3~10년,AWS 인프라 Java 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48474822,Devops가능자 모집/ (Unity 경력자 채용),(주)지지56코리아,서울강남구,경력3년↑,웹개발 모델링 블록체인 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48547883,유명중견교육그룹 DevOps 엔지니어 대리과장급,HR컨설팅(주),서울성동구,경력 3~10년,AWS 인프라 Java 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48574468,DevOps 엔지니어,(주)데이터메이커,대전전체,경력 5~20년,인프라 Linux 솔루션 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48444233,DevOps 엔지니어 (경력 3년이상),(주)버즈빌,서울전체,경력 3~15년,AWS 인프라 솔루션 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48444218,DevOps 엔지니어(리드급),(주)버즈빌,서울전체,경력 5~15년,AWS 인프라 솔루션 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48469303,ML / DevOps Engineer 경력자 공고,(주)알고그랩,경기성남시 분당구,경력 3~10년,AWS 인프라 Java 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48573790,"[긴급] 코스닥 TOP보안솔루션 / DevOps Engineer (3~10년, EKS)",(주)투비파트너즈,서울서초구,경력 3~10년,AWS 인프라 Java 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48565645,유명 IT기업 DevOps엔지니어 모집,(주)헬로서치,서울강남구,경력4년↑,AWS 인프라 네트워크 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48487410,"클라우드 엔지니어 채용  (K8s/AWS - DevOps, DevSecOps 등)",시프트원(주),서울강남구,경력6년↑,AWS Azure Kubernetes 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48573515,[유망 데이터  솔루션 업체] DevOps 엔지니어,(주)휴먼트리월드와이드,서울마포구,경력 4~10년,AWS 인프라 Linux 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48390322,MVL [TADA] DevOps Engineer,(주)이지식스,서울강남구,경력 5~8년,AWS Kubernetes 블록체인 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48481144,Senior DevOps Engineer,(주)라쿠텐심포니코리아,서울서초구,경력,인프라 Python 백엔드/서버개발 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48488451,[TADA] DevOps Engineer 채용,(주)이지식스,서울강남구,경력 5~8년,AWS 인프라 백엔드/서버개발 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48296803,[정규] 웹 최적화 솔루션 DevOps 엔지니어 및 컨설턴트,와인소프트(주),서울성동구,경력3년↑,인프라 Linux 솔루션 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48513883,[스탠바이랩] 데브옵스(DevOps) 엔지니어 경력직 채용,스탠바이랩(주),서울강남구,경력 2~10년,AWS 인프라 Linux 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48602686,ㅣICTㅣDevOps 엔지니어 (주임-과장급),(주)베스트에치알 (Best HR),서울전체,경력3년↑,Java 기술지원 Jenkins 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48604417,[개발] 사내 시스템 DevOps 엔지니어/세계적인 게임사/판교,(주)에이치알비즈코리아,경기성남시 분당구,경력 7~14년,인프라 아키텍쳐 트러블슈팅 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48280622,DevOps Engineer 채용,(주)아이지넷,서울전체,경력 5~15년,인프라 Python 네트워크 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48499638,자율주행 로봇 연구소 DevOps 개발자 채용,(주)에이알247,경기성남시 분당구,경력,자율주행 C++ Ubuntu 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48385335,Backend Engineer (DevOps),(주)디엔코리아,서울전체,경력 3~10년,AWS 인프라 백엔드/서버개발 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48525817,[4-10년] Blockchain DevOps,비씨랩스(주),서울강남구,경력 4~10년,인프라 네트워크 백엔드/서버개발 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48597716,블록체인 devops 개발자,(주)디카르고,서울강남구,경력5년↑,AWS 인프라 네트워크 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48458177,[AOX Korea] DevOps Engineer,유한회사에이오엑스코리아,서울강남구,신입·경력,인프라 Linux 솔루션 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48552249,[디지털컨텐츠스타트업] DevOps 엔지니어 채용,휴먼인써치,서울성동구,경력2년↑,AWS 인프라 Java 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48552873,"의료기기 데브옵스(DevOps+Security) 엔지니어 주임,대리과장급(",굿커리어,서울강남구,경력 2~10년,인프라 솔루션 네트워크 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48566909,[ DevOps Engineer (Platform(NP) ] iGaming 글로벌개발스튜디오,쓰리핸즈(3Handz),서울강남구,경력 3~13년,AWS 게임개발 Azure 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48604224,1위 교과서 전문기업-DevOps 엔지니어 - 경력6년 이상,위더스파트너스(주),서울금천구,경력7년↑,AWS 솔루션 네트워크 
